graph,seed,checkpoint,best_epoch,best_val_loss,threshold_raw_score,validation_best_f1,validation_precision,validation_recall,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,TP,TN,FP,FN,evaluation_seconds
A4_carrier,42,checkpoints/relation_ablation/A4_carrier_seed42_best.pt,500,0.26073575019836426,0.8333045244216919,0.9130436456452526,0.9401495270789894,0.8874569675198324,0.9155028664660889,0.9401709401709402,0.8874818507042675,0.9130669130669131,0.9694670283716659,0.9738697526951836,118580,126068,7546,15034,0.33391785621643066
A4_carrier,43,checkpoints/relation_ablation/A4_carrier_seed43_best.pt,500,0.2631322741508484,0.760248064994812,0.9135212248004498,0.934161432381906,0.8937733872174825,0.916056700645142,0.9354545596966991,0.8937835855524122,0.9141444296452793,0.9687579049733165,0.9733670169439737,119422,125374,8240,14192,0.34305882453918457
A4_carrier,44,checkpoints/relation_ablation/A4_carrier_seed44_best.pt,500,0.2682012617588043,0.8043451309204102,0.9078709398776035,0.9364682858529367,0.8809684179015117,0.910611911925397,0.9358985563668433,0.881606717858907,0.907941744354991,0.9667233344056394,0.9716704016516114,117795,125546,8068,15819,0.3330647945404053
A5_indication,42,checkpoints/relation_ablation/A5_indication_seed42_best.pt,500,0.25921982526779175,0.8038177490234375,0.9007649618685758,0.9376037306605568,0.8667115701242329,0.9050436331522146,0.9371420724861271,0.8683296660529585,0.9014245368410012,0.9618288069882152,0.9682399564245167,116021,125832,7782,17593,0.37569522857666016
A5_indication,43,checkpoints/relation_ablation/A5_indication_seed43_best.pt,500,0.2639518678188324,0.8111702799797058,0.8970952225283707,0.9344960108970617,0.8625729681185451,0.9015597167961441,0.9347551291608596,0.863382579669795,0.8976523775804782,0.9596947919723059,0.9664747146255143,115360,125562,8052,18254,0.3347649574279785
A5_indication,44,checkpoints/relation_ablation/A5_indication_seed44_best.pt,496,0.267633855342865,0.7495942115783691,0.8860390987744172,0.9230451106479942,0.8518859452177817,0.8916730282754801,0.9230091499886838,0.8546334964898887,0.887506314848638,0.9508634281335612,0.9607097902433313,114191,124089,9525,19423,0.33812475204467773
A6_contraindication,42,checkpoints/relation_ablation/A6_contraindication_seed42_best.pt,500,0.26567697525024414,0.7536606788635254,0.9084093235053989,0.9310751243429272,0.8868208352043108,0.9113940155971679,0.9314531953972465,0.8881479485682638,0.9092852545437827,0.967639971109725,0.9720352556042201,118669,124881,8733,14945,0.3367607593536377
A6_contraindication,43,checkpoints/relation_ablation/A6_contraindication_seed43_best.pt,500,0.2648892104625702,0.7674449682235718,0.907161783282497,0.9344552350122187,0.8814174524771741,0.910679270136363,0.9354372822714395,0.8822503629859146,0.9080656778273781,0.9666381382775947,0.971293796675258,117881,125478,8136,15733,0.3349909782409668
A6_contraindication,44,checkpoints/relation_ablation/A6_contraindication_seed44_best.pt,500,0.2697589099407196,0.7910727262496948,0.9066937509858461,0.9329343118859306,0.8818889387816196,0.9102489260107474,0.9332722070284711,0.8836798539075247,0.9077992372985607,0.9672578652871088,0.9716812333043437,118072,125172,8442,15542,0.3348808288574219
A7_off_label,42,checkpoints/relation_ablation/A7_off_label_seed42_best.pt,500,0.26399484276771545,0.7691572904586792,0.9168408844668936,0.9350915146610222,0.8992890285885347,0.9189792985764965,0.9351897199095128,0.9003547532444205,0.9174416875436128,0.972204627517641,0.975883275943942,120300,125277,8337,13314,0.3392932415008545
A7_off_label,43,checkpoints/relation_ablation/A7_off_label_seed43_best.pt,500,0.2630694806575775,0.7847821712493896,0.9217104688562066,0.9355549902484525,0.9082697201017812,0.9235222356938644,0.9362861878878994,0.9088942775457661,0.9223869147308018,0.9742752433313648,0.977408835824919,121441,125350,8264,12173,0.2927525043487549
A7_off_label,44,checkpoints/relation_ablation/A7_off_label_seed44_best.pt,311,0.30274680256843567,0.8066565990447998,0.892140778802699,0.9235588169320985,0.8627900014967819,0.8963020342179712,0.925050370453615,0.8624844701902495,0.8926724789012785,0.9587961801037941,0.9642028169057926,115240,124277,9337,18374,0.28122639656066895
