DDInter_ID,DDInter_name,normalized_DDInter_name,PrimeKG_name,normalized_PrimeKG_name,DrugBank_ID,equal_after_normalization,route_or_formulation_qualifier_detected,lexical_attention_reason,suspicious_lexical_case,review_status
DDInter1542,Protein C,protein c,Protein C,protein c,DB11312,true,false,,false,accepted_exact_normalized_name
DDInter1543,Protriptyline,protriptyline,Protriptyline,protriptyline,DB00344,true,false,,false,accepted_exact_normalized_name
DDInter1544,Prucalopride,prucalopride,Prucalopride,prucalopride,DB06480,true,false,,false,accepted_exact_normalized_name
DDInter1545,Pseudoephedrine,pseudoephedrine,Pseudoephedrine,pseudoephedrine,DB00852,true,false,,false,accepted_exact_normalized_name
DDInter1546,Pyrantel,pyrantel,Pyrantel,pyrantel,DB11156,true,false,,false,accepted_exact_normalized_name
DDInter1547,Pyrazinamide,pyrazinamide,Pyrazinamide,pyrazinamide,DB00339,true,false,,false,accepted_exact_normalized_name
DDInter1548,Pyridostigmine,pyridostigmine,Pyridostigmine,pyridostigmine,DB00545,true,false,,false,accepted_exact_normalized_name
DDInter1549,Pyridoxine,pyridoxine,Pyridoxine,pyridoxine,DB00165,true,false,,false,accepted_exact_normalized_name
DDInter1550,Pyrimethamine,pyrimethamine,Pyrimethamine,pyrimethamine,DB00205,true,false,,false,accepted_exact_normalized_name
DDInter1551,Pyrophosphoric acid,pyrophosphoric acid,Pyrophosphoric acid,pyrophosphoric acid,DB04160,true,false,,false,accepted_exact_normalized_name
DDInter1552,Quazepam,quazepam,Quazepam,quazepam,DB01589,true,false,,false,accepted_exact_normalized_name
DDInter1553,Quetiapine,quetiapine,Quetiapine,quetiapine,DB01224,true,false,,false,accepted_exact_normalized_name
DDInter1554,Quinapril,quinapril,Quinapril,quinapril,DB00881,true,false,,false,accepted_exact_normalized_name
DDInter1555,Quinestrol,quinestrol,Quinestrol,quinestrol,DB04575,true,false,,false,accepted_exact_normalized_name
DDInter1556,Quinidine,quinidine,Quinidine,quinidine,DB00908,true,false,,false,accepted_exact_normalized_name
DDInter1557,Quinine,quinine,Quinine,quinine,DB00468,true,false,,false,accepted_exact_normalized_name
DDInter1558,Quinupristin,quinupristin,Quinupristin,quinupristin,DB01369,true,false,,false,accepted_exact_normalized_name
DDInter1559,Rabeprazole,rabeprazole,Rabeprazole,rabeprazole,DB01129,true,false,,false,accepted_exact_normalized_name
DDInter156,Azilsartan medoxomil,azilsartan medoxomil,Azilsartan medoxomil,azilsartan medoxomil,DB08822,true,false,,false,accepted_exact_normalized_name
DDInter1560,Racepinephrine,racepinephrine,Racepinephrine,racepinephrine,DB11124,true,false,,false,accepted_exact_normalized_name
DDInter1561,Radium Ra 223 dichloride,radium ra 223 dichloride,Radium Ra 223 dichloride,radium ra 223 dichloride,DB08913,true,false,,false,accepted_exact_normalized_name
DDInter1562,Raloxifene,raloxifene,Raloxifene,raloxifene,DB00481,true,false,,false,accepted_exact_normalized_name
DDInter1563,Raltegravir,raltegravir,Raltegravir,raltegravir,DB06817,true,false,,false,accepted_exact_normalized_name
DDInter1564,Ramelteon,ramelteon,Ramelteon,ramelteon,DB00980,true,false,,false,accepted_exact_normalized_name
DDInter1565,Ramipril,ramipril,Ramipril,ramipril,DB00178,true,false,,false,accepted_exact_normalized_name
DDInter1566,Ramucirumab,ramucirumab,Ramucirumab,ramucirumab,DB05578,true,false,,false,accepted_exact_normalized_name
DDInter1568,Ranitidine,ranitidine,Ranitidine,ranitidine,DB00863,true,false,,false,accepted_exact_normalized_name
DDInter157,Azithromycin,azithromycin,Azithromycin,azithromycin,DB00207,true,false,,false,accepted_exact_normalized_name
DDInter1570,Ranolazine,ranolazine,Ranolazine,ranolazine,DB00243,true,false,,false,accepted_exact_normalized_name
DDInter1571,Rapacuronium,rapacuronium,Rapacuronium,rapacuronium,DB04834,true,false,,false,accepted_exact_normalized_name
DDInter1572,Rasagiline,rasagiline,Rasagiline,rasagiline,DB01367,true,false,,false,accepted_exact_normalized_name
DDInter1573,Rasburicase,rasburicase,Rasburicase,rasburicase,DB00049,true,false,,false,accepted_exact_normalized_name
DDInter1574,Ravulizumab,ravulizumab,Ravulizumab,ravulizumab,DB11580,true,false,,false,accepted_exact_normalized_name
DDInter1575,Regadenoson,regadenoson,Regadenoson,regadenoson,DB06213,true,false,,false,accepted_exact_normalized_name
DDInter1576,Regorafenib,regorafenib,Regorafenib,regorafenib,DB08896,true,false,,false,accepted_exact_normalized_name
DDInter1577,Relugolix,relugolix,Relugolix,relugolix,DB11853,true,false,,false,accepted_exact_normalized_name
DDInter1578,Remdesivir,remdesivir,Remdesivir,remdesivir,DB14761,true,false,,false,accepted_exact_normalized_name
DDInter1579,Remifentanil,remifentanil,Remifentanil,remifentanil,DB00899,true,false,,false,accepted_exact_normalized_name
DDInter158,Aztreonam,aztreonam,Aztreonam,aztreonam,DB00355,true,false,,false,accepted_exact_normalized_name
DDInter1580,Remimazolam,remimazolam,Remimazolam,remimazolam,DB12404,true,false,,false,accepted_exact_normalized_name
DDInter1581,Repaglinide,repaglinide,Repaglinide,repaglinide,DB00912,true,false,,false,accepted_exact_normalized_name
DDInter1582,Reserpine,reserpine,Reserpine,reserpine,DB00206,true,false,,false,accepted_exact_normalized_name
DDInter1585,Reteplase,reteplase,Reteplase,reteplase,DB00015,true,false,,false,accepted_exact_normalized_name
DDInter1586,Revefenacin,revefenacin,Revefenacin,revefenacin,DB11855,true,false,,false,accepted_exact_normalized_name
DDInter1587,Ribavirin,ribavirin,Ribavirin,ribavirin,DB00811,true,false,,false,accepted_exact_normalized_name
DDInter1588,Ribociclib,ribociclib,Ribociclib,ribociclib,DB11730,true,false,,false,accepted_exact_normalized_name
DDInter1589,Rifabutin,rifabutin,Rifabutin,rifabutin,DB00615,true,false,,false,accepted_exact_normalized_name
DDInter159,Bacampicillin,bacampicillin,Bacampicillin,bacampicillin,DB01602,true,false,,false,accepted_exact_normalized_name
DDInter1590,Rifampicin,rifampicin,Rifampicin,rifampicin,DB01045,true,false,,false,accepted_exact_normalized_name
DDInter1591,Rifamycin,rifamycin,Rifamycin,rifamycin,DB11753,true,false,,false,accepted_exact_normalized_name
DDInter1592,Rifapentine,rifapentine,Rifapentine,rifapentine,DB01201,true,false,,false,accepted_exact_normalized_name
DDInter1593,Rifaximin,rifaximin,Rifaximin,rifaximin,DB01220,true,false,,false,accepted_exact_normalized_name
DDInter1594,Rilonacept,rilonacept,Rilonacept,rilonacept,DB06372,true,false,,false,accepted_exact_normalized_name
DDInter1595,Rilpivirine,rilpivirine,Rilpivirine,rilpivirine,DB08864,true,false,,false,accepted_exact_normalized_name
DDInter1596,Riluzole,riluzole,Riluzole,riluzole,DB00740,true,false,,false,accepted_exact_normalized_name
DDInter1597,Rimantadine,rimantadine,Rimantadine,rimantadine,DB00478,true,false,,false,accepted_exact_normalized_name
DDInter1598,Rimegepant,rimegepant,Rimegepant,rimegepant,DB12457,true,false,,false,accepted_exact_normalized_name
DDInter16,Acetohexamide,acetohexamide,Acetohexamide,acetohexamide,DB00414,true,false,,false,accepted_exact_normalized_name
DDInter160,Bacillus calmette-guerin substrain tice live antigen,bacillus calmette-guerin substrain tice live antigen,Bacillus calmette-guerin substrain tice live antigen,bacillus calmette-guerin substrain tice live antigen,DB10343,true,false,,false,accepted_exact_normalized_name
DDInter1600,Riociguat,riociguat,Riociguat,riociguat,DB08931,true,false,,false,accepted_exact_normalized_name
DDInter1601,Ripretinib,ripretinib,Ripretinib,ripretinib,DB14840,true,false,,false,accepted_exact_normalized_name
DDInter1602,Risankizumab,risankizumab,Risankizumab,risankizumab,DB14762,true,false,,false,accepted_exact_normalized_name
DDInter1603,Risdiplam,risdiplam,Risdiplam,risdiplam,DB15305,true,false,,false,accepted_exact_normalized_name
DDInter1604,Risedronic acid,risedronic acid,Risedronic acid,risedronic acid,DB00884,true,false,,false,accepted_exact_normalized_name
DDInter1605,Risperidone,risperidone,Risperidone,risperidone,DB00734,true,false,,false,accepted_exact_normalized_name
DDInter1606,Ritodrine,ritodrine,Ritodrine,ritodrine,DB00867,true,false,,false,accepted_exact_normalized_name
DDInter1607,Ritonavir,ritonavir,Ritonavir,ritonavir,DB00503,true,false,,false,accepted_exact_normalized_name
DDInter1608,Rituximab,rituximab,Rituximab,rituximab,DB00073,true,false,,false,accepted_exact_normalized_name
DDInter1609,Rivaroxaban,rivaroxaban,Rivaroxaban,rivaroxaban,DB06228,true,false,,false,accepted_exact_normalized_name
DDInter161,Bacitracin,bacitracin,Bacitracin,bacitracin,DB00626,true,false,,false,accepted_exact_normalized_name
DDInter1610,Rivastigmine,rivastigmine,Rivastigmine,rivastigmine,DB00989,true,false,,false,accepted_exact_normalized_name
DDInter1611,Rizatriptan,rizatriptan,Rizatriptan,rizatriptan,DB00953,true,false,,false,accepted_exact_normalized_name
DDInter1612,Rocuronium,rocuronium,Rocuronium,rocuronium,DB00728,true,false,,false,accepted_exact_normalized_name
DDInter1613,Rofecoxib,rofecoxib,Rofecoxib,rofecoxib,DB00533,true,false,,false,accepted_exact_normalized_name
DDInter1614,Roflumilast,roflumilast,Roflumilast,roflumilast,DB01656,true,false,,false,accepted_exact_normalized_name
DDInter1615,Rolapitant,rolapitant,Rolapitant,rolapitant,DB09291,true,false,,false,accepted_exact_normalized_name
DDInter1616,Romidepsin,romidepsin,Romidepsin,romidepsin,DB06176,true,false,,false,accepted_exact_normalized_name
DDInter1617,Romiplostim,romiplostim,Romiplostim,romiplostim,DB05332,true,false,,false,accepted_exact_normalized_name
DDInter1618,Romosozumab,romosozumab,Romosozumab,romosozumab,DB11866,true,false,,false,accepted_exact_normalized_name
DDInter1619,Ropinirole,ropinirole,Ropinirole,ropinirole,DB00268,true,false,,false,accepted_exact_normalized_name
DDInter162,Baclofen,baclofen,Baclofen,baclofen,DB00181,true,false,,false,accepted_exact_normalized_name
DDInter1620,Ropivacaine,ropivacaine,Ropivacaine,ropivacaine,DB00296,true,false,,false,accepted_exact_normalized_name
DDInter1621,Rosiglitazone,rosiglitazone,Rosiglitazone,rosiglitazone,DB00412,true,false,,false,accepted_exact_normalized_name
DDInter1622,Rosuvastatin,rosuvastatin,Rosuvastatin,rosuvastatin,DB01098,true,false,,false,accepted_exact_normalized_name
DDInter1623,Rotavirus vaccine,rotavirus vaccine,Rotavirus vaccine,rotavirus vaccine,DB10276,true,false,,false,accepted_exact_normalized_name
DDInter1624,Rotigotine,rotigotine,Rotigotine,rotigotine,DB05271,true,false,,false,accepted_exact_normalized_name
DDInter1625,Rubella virus vaccine,rubella virus vaccine,Rubella virus vaccine,rubella virus vaccine,DB10317,true,false,,false,accepted_exact_normalized_name
DDInter1626,Rucaparib,rucaparib,Rucaparib,rucaparib,DB12332,true,false,,false,accepted_exact_normalized_name
DDInter1627,Rufinamide,rufinamide,Rufinamide,rufinamide,DB06201,true,false,,false,accepted_exact_normalized_name
