DDInter_ID_A,Drug_A,DrugBank_ID_A,DDInter_ID_B,Drug_B,DrugBank_ID_B,severity,PrimeKG_node_A,PrimeKG_node_B,mapping_method_A,mapping_method_B,PrimeKG_known_overlap
DDInter100,Anthrax vaccine,DB11003,DDInter1002,Ixazomib,DB09570,Moderate,9673,4023,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1044,Levamisole,DB00848,Moderate,9673,6811,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1214,Midostaurin,DB06595,Moderate,9673,3801,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1238,Mogamulizumab,DB12498,Moderate,9673,8977,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter127,Asparaginase Escherichia coli,DB00023,Moderate,9673,3285,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1297,Niraparib,DB11793,Moderate,9673,3544,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter131,Atezolizumab,DB11595,Moderate,9673,8397,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1324,Ofatumumab,DB06650,Moderate,9673,5012,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1328,Olaratumab,DB06043,Moderate,9673,6676,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1335,Omacetaxine mepesuccinate,DB04865,Moderate,9673,8669,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1352,Osimertinib,DB09330,Moderate,9673,4160,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1484,Plicamycin,DB06810,Moderate,9673,9324,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1588,Ribociclib,DB11730,Moderate,9673,4442,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1616,Romidepsin,DB06176,Moderate,9673,3792,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1626,Rucaparib,DB12332,Moderate,9673,3840,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1657,Selinexor,DB11942,Moderate,9673,4453,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1742,Talazoparib,DB11760,Moderate,9673,7813,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1782,Tetracosactide,DB01284,Moderate,9673,6669,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1806,Tildrakizumab,DB14004,Moderate,9673,3483,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1875,Trimetrexate,DB01157,Moderate,9673,3465,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1901,Upadacitinib,DB15091,Moderate,9673,4052,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1902,Uracil mustard,DB00791,Moderate,9673,9256,exact normalized-name fallback,exact normalized-name fallback,false
DDInter100,Anthrax vaccine,DB11003,DDInter1907,Ustekinumab,DB05679,Moderate,9673,7013,exact normalized-name fallback,exact normalized-name fallback,false
