DDInter_ID,DDInter_name,DrugBank_ID,PrimeKG_name,PrimeKG_node,mapping_method,mapping_confidence_category
DDInter1133,Mechlorethamine,DB00888,Mechlorethamine,3632,exact normalized-name fallback,exact-name match
DDInter1134,Meclizine,DB00737,Meclizine,3007,exact normalized-name fallback,exact-name match
DDInter1135,Meclofenamic acid,DB00939,Meclofenamic acid,3292,exact normalized-name fallback,exact-name match
DDInter1136,Mecobalamin,,,,none,unmapped
DDInter1137,Medroxyprogesterone acetate,DB00603,Medroxyprogesterone acetate,2986,exact normalized-name fallback,exact-name match
DDInter1138,Medrysone (ophthalmic),,,,none,unmapped
DDInter1139,Mefenamic acid,DB00784,Mefenamic acid,3019,exact normalized-name fallback,exact-name match
DDInter114,Arbutamine,DB01102,Arbutamine,5313,exact normalized-name fallback,exact-name match
DDInter1140,Mefloquine,DB00358,Mefloquine,3484,exact normalized-name fallback,exact-name match
DDInter1141,Megestrol acetate,DB00351,Megestrol acetate,4218,exact normalized-name fallback,exact-name match
DDInter1142,Melatonin,DB01065,Melatonin,3509,exact normalized-name fallback,exact-name match
DDInter1143,Meloxicam,DB00814,Meloxicam,3025,exact normalized-name fallback,exact-name match
DDInter1144,Melphalan,DB01042,Melphalan,8995,exact normalized-name fallback,exact-name match
DDInter1145,Melphalan flufenamide,,,,none,unmapped
DDInter1146,Memantine,DB01043,Memantine,4601,exact normalized-name fallback,exact-name match
DDInter1147,Meningococcal polysaccharide vaccine group C,,,,none,unmapped
DDInter1148,Menotropins,,,,none,unmapped
DDInter1149,Mepenzolate,DB04843,Mepenzolate,4857,exact normalized-name fallback,exact-name match
DDInter115,Ardeparin,DB00407,Ardeparin,5608,exact normalized-name fallback,exact-name match
DDInter1150,Meperidine,DB00454,Meperidine,2954,exact normalized-name fallback,exact-name match
DDInter1151,Mephentermine,DB01365,Mephentermine,8934,exact normalized-name fallback,exact-name match
DDInter1152,Mephenytoin,DB00532,Mephenytoin,3288,exact normalized-name fallback,exact-name match
DDInter1153,Mepivacaine,DB00961,Mepivacaine,5329,exact normalized-name fallback,exact-name match
DDInter1154,Meprobamate,DB00371,Meprobamate,5847,exact normalized-name fallback,exact-name match
DDInter1155,Mepyramine,DB06691,Mepyramine,3993,exact normalized-name fallback,exact-name match
DDInter1156,Mercaptopurine,DB01033,Mercaptopurine,3547,exact normalized-name fallback,exact-name match
DDInter1157,Meropenem,DB00760,Meropenem,9134,exact normalized-name fallback,exact-name match
DDInter1158,Mesalazine,DB00244,Mesalazine,4659,exact normalized-name fallback,exact-name match
DDInter1159,Mesoridazine,DB00933,Mesoridazine,3914,exact normalized-name fallback,exact-name match
DDInter116,Arformoterol,DB01274,Arformoterol,3943,exact normalized-name fallback,exact-name match
DDInter1160,Mestranol,DB01357,Mestranol,4290,exact normalized-name fallback,exact-name match
DDInter1161,Metamfetamine,DB01577,Metamfetamine,3957,exact normalized-name fallback,exact-name match
DDInter1162,Metaraminol,DB00610,Metaraminol,6121,exact normalized-name fallback,exact-name match
DDInter1163,Metaxalone,DB00660,Metaxalone,9128,exact normalized-name fallback,exact-name match
DDInter1164,Metformin,DB00331,Metformin,5371,exact normalized-name fallback,exact-name match
DDInter1165,Methacholine,DB06709,Methacholine,4859,exact normalized-name fallback,exact-name match
DDInter1166,Methadone,DB00333,Methadone,2943,exact normalized-name fallback,exact-name match
DDInter1167,Methazolamide,DB00703,Methazolamide,5575,exact normalized-name fallback,exact-name match
DDInter1168,Methdilazine,DB00902,Methdilazine,6018,exact normalized-name fallback,exact-name match
DDInter1169,Methenamine,DB06799,Methenamine,9111,exact normalized-name fallback,exact-name match
DDInter117,Argatroban,DB00278,Argatroban,2929,exact normalized-name fallback,exact-name match
DDInter1170,Methimazole,DB00763,Methimazole,3904,exact normalized-name fallback,exact-name match
DDInter1171,Methionine,DB00134,Methionine,3428,exact normalized-name fallback,exact-name match
DDInter1172,Methocarbamol,DB00423,Methocarbamol,5573,exact normalized-name fallback,exact-name match
DDInter1173,Methohexital,DB00474,Methohexital,4616,exact normalized-name fallback,exact-name match
DDInter1174,Methotrexate,DB00563,Methotrexate,2977,exact normalized-name fallback,exact-name match
DDInter1175,Methotrimeprazine,DB01403,Methotrimeprazine,3948,exact normalized-name fallback,exact-name match
DDInter1176,Methoxamine,DB00723,Methoxamine,6122,exact normalized-name fallback,exact-name match
DDInter1177,Methoxsalen,DB00553,Methoxsalen,4086,exact normalized-name fallback,exact-name match
DDInter1178,Methoxsalen (topical),,,,none,unmapped
DDInter1179,Methoxyflurane,DB01028,Methoxyflurane,3919,exact normalized-name fallback,exact-name match
DDInter118,Aripiprazole,DB01238,Aripiprazole,3106,exact normalized-name fallback,exact-name match
DDInter1180,Methscopolamine,DB11315,Methscopolamine,9104,exact normalized-name fallback,exact-name match
DDInter1181,Methsuximide,DB05246,Methsuximide,4620,exact normalized-name fallback,exact-name match
DDInter1182,Methyl aminolevulinate (topical),,,,none,unmapped
DDInter1183,Methyl salicylate (topical),,,,none,unmapped
DDInter1184,Methylcellulose,DB11228,Methylcellulose,9776,exact normalized-name fallback,exact-name match
DDInter1185,Methyldopa,DB00968,Methyldopa,3592,exact normalized-name fallback,exact-name match
DDInter1186,Methylene blue,DB09241,Methylene blue,3207,exact normalized-name fallback,exact-name match
DDInter1187,Methylergometrine,DB00353,Methylergometrine,4219,exact normalized-name fallback,exact-name match
DDInter1188,Methylnaltrexone,DB06800,Methylnaltrexone,6291,exact normalized-name fallback,exact-name match
DDInter1189,Methylphenidate,DB00422,Methylphenidate,5638,exact normalized-name fallback,exact-name match
DDInter119,Armodafinil,DB06413,Armodafinil,3798,exact normalized-name fallback,exact-name match
DDInter1190,Methylphenobarbital,DB00849,Methylphenobarbital,4618,exact normalized-name fallback,exact-name match
DDInter1191,Methylprednisolone,DB00959,Methylprednisolone,3052,exact normalized-name fallback,exact-name match
DDInter1192,Methylprednisolone (topical),,,,none,unmapped
DDInter1193,Methyltestosterone,DB06710,Methyltestosterone,3170,exact normalized-name fallback,exact-name match
DDInter1194,Methysergide,DB00247,Methysergide,4206,exact normalized-name fallback,exact-name match
DDInter1195,Meticillin,DB01603,Meticillin,9189,exact normalized-name fallback,exact-name match
DDInter1196,Metipranolol (ophthalmic),,,,none,unmapped
DDInter1197,Metoclopramide,DB01233,Metoclopramide,3329,exact normalized-name fallback,exact-name match
DDInter1198,Metocurine,DB01336,Metocurine,6179,exact normalized-name fallback,exact-name match
DDInter1199,Metolazone,DB00524,Metolazone,5931,exact normalized-name fallback,exact-name match
DDInter12,Acebutolol,DB01193,Acebutolol,3936,exact normalized-name fallback,exact-name match
DDInter120,Arsenic trioxide,DB01169,Arsenic trioxide,3096,exact normalized-name fallback,exact-name match
DDInter1200,Metoprolol,DB00264,Metoprolol,2925,exact normalized-name fallback,exact-name match
DDInter1201,Metreleptin,DB09046,Metreleptin,8287,exact normalized-name fallback,exact-name match
DDInter1202,Metronidazole,DB00916,Metronidazole,3763,exact normalized-name fallback,exact-name match
DDInter1203,Metronidazole (topical),,,,none,unmapped
DDInter1204,Metyrapone,DB01011,Metyrapone,3513,exact normalized-name fallback,exact-name match
DDInter1205,Metyrosine,DB00765,Metyrosine,6220,exact normalized-name fallback,exact-name match
DDInter1206,Mexiletine,DB00379,Mexiletine,3880,exact normalized-name fallback,exact-name match
DDInter1207,Mezlocillin,DB00948,Mezlocillin,9193,exact normalized-name fallback,exact-name match
DDInter1208,Micafungin,DB01141,Micafungin,3593,exact normalized-name fallback,exact-name match
DDInter1209,Miconazole,DB01110,Miconazole,3083,exact normalized-name fallback,exact-name match
DDInter121,Artemether,DB06697,Artemether,3805,exact normalized-name fallback,exact-name match
DDInter1210,Miconazole (topical),,,,none,unmapped
DDInter1211,Microcrystalline cellulose,,,,none,unmapped
DDInter1212,Midazolam,DB00683,Midazolam,3746,exact normalized-name fallback,exact-name match
DDInter1213,Midodrine,DB00211,Midodrine,3864,exact normalized-name fallback,exact-name match
DDInter1214,Midostaurin,DB06595,Midostaurin,3801,exact normalized-name fallback,exact-name match
DDInter1215,Mifepristone,DB00834,Mifepristone,3756,exact normalized-name fallback,exact-name match
DDInter1216,Migalastat,DB05018,Migalastat,4641,exact normalized-name fallback,exact-name match
DDInter1217,Miglitol,DB00491,Miglitol,4536,exact normalized-name fallback,exact-name match
DDInter1218,Miglustat,,,,none,unmapped
DDInter1219,Milk thistle,,,,none,unmapped
DDInter122,Artesunate,DB09274,Artesunate,3209,exact normalized-name fallback,exact-name match
DDInter1220,Milnacipran,DB04896,Milnacipran,4325,exact normalized-name fallback,exact-name match
DDInter1221,Milrinone,DB00235,Milrinone,6003,exact normalized-name fallback,exact-name match
DDInter1222,Miltefosine,DB09031,Miltefosine,3659,exact normalized-name fallback,exact-name match
