Drug_A,DrugBank_ID_A,PrimeKG_node_A,Drug_B,DrugBank_ID_B,PrimeKG_node_B,mapping_method_A,mapping_method_B,source_row_count,unique_description_count,PrimeKG_train_overlap,PrimeKG_known_overlap
Abiraterone,DB05812,3159,Dopamine,DB00988,3424,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Dorzolamide,DB00869,4562,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Doxorubicin,DB00997,3058,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Doxycycline,DB00254,4208,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Dronedarone,DB04855,3151,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Epoprostenol,DB01240,5114,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Ergotamine,DB00696,4241,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Erythromycin,DB00199,3719,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Famotidine,DB00927,4099,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Fingolimod,DB08868,4612,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Fluconazole,DB00196,3718,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Fluphenazine,DB00623,3893,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Fosamprenavir,DB01319,4286,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Fosaprepitant,DB06717,4361,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Glucosamine,DB01296,4978,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Granisetron,DB00889,4254,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Guanfacine,DB01018,4263,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Histamine,DB05381,4195,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Icotinib,DB11737,3829,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Idelalisib,DB09054,3816,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Imiquimod,DB00724,4244,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Indinavir,DB00224,3722,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Ipratropium,DB00332,2942,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Isavuconazonium,DB06636,4356,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Isradipine,DB00270,4209,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Itraconazole,DB01167,3775,exact normalized-name,exact normalized-name,1,1,False,False
Abiraterone,DB05812,3159,Ivacaftor,DB08820,3183,exact normalized-name,exact normalized-name,1,1,False,False
